file,ctime,mtime,atime,Extractiontime
gamma_test_generated_11000.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11001.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11002.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11003.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11004.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11005.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11006.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11007.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11008.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11009.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11010.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11011.hdf5,1550075490,,1550075490,1550075490
gamma_test_generated_11012.hdf5,1550075491,,1550075490,1550075490
gamma_test_generated_11013.hdf5,1550075491,,1550075490,1550075491
gamma_test_generated_11014.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11015.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11016.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11017.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11018.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11019.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11020.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11021.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11022.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11023.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11024.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11025.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11026.hdf5,1550075491,,1550075491,1550075491
gamma_test_generated_11027.hdf5,1550075492,,1550075491,1550075491
gamma_test_generated_11028.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11029.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11030.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11031.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11032.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11033.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11034.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11035.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11036.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11037.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11038.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11039.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11040.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11041.hdf5,1550075492,,1550075492,1550075492
gamma_test_generated_11042.hdf5,1550075493,,1550075492,1550075493
gamma_test_generated_11043.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11044.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11045.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11046.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11047.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11048.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11049.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11050.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11051.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11052.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11053.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11054.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11055.hdf5,1550075493,,1550075493,1550075493
gamma_test_generated_11056.hdf5,1550075494,,1550075493,1550075493
gamma_test_generated_11057.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11058.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11059.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11060.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11061.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11062.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11063.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11064.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11065.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11066.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11067.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11068.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11069.hdf5,1550075494,,1550075494,1550075494
gamma_test_generated_11070.hdf5,1550075495,,1550075494,1550075494
gamma_test_generated_11071.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11072.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11073.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11074.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11075.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11076.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11077.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11078.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11079.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11080.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11081.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11082.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11083.hdf5,1550075495,,1550075495,1550075495
gamma_test_generated_11084.hdf5,1550075496,,1550075495,1550075495
gamma_test_generated_11085.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11086.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11087.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11088.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11089.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11090.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11091.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11092.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11093.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11094.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11095.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11096.hdf5,1550075496,,1550075496,1550075496
gamma_test_generated_11097.hdf5,1550075497,,1550075496,1550075496
gamma_test_generated_11098.hdf5,1550075497,,1550075496,1550075497
gamma_test_generated_11099.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11100.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11101.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11102.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11103.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11104.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11105.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11106.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11107.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11108.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11109.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11110.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11111.hdf5,1550075497,,1550075497,1550075497
gamma_test_generated_11112.hdf5,1550075498,,1550075497,1550075497
gamma_test_generated_11113.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11114.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11115.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11116.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11117.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11118.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11119.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11120.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11121.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11122.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11123.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11124.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11125.hdf5,1550075498,,1550075498,1550075498
gamma_test_generated_11126.hdf5,1550075499,,1550075498,1550075499
gamma_test_generated_11127.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11128.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11129.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11130.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11131.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11132.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11133.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11134.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11135.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11136.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11137.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11138.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11139.hdf5,1550075499,,1550075499,1550075499
gamma_test_generated_11140.hdf5,1550075500,,1550075499,1550075500
gamma_test_generated_11141.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11142.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11143.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11144.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11145.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11146.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11147.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11148.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11149.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11150.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11151.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11152.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11153.hdf5,1550075500,,1550075500,1550075500
gamma_test_generated_11154.hdf5,1550075501,,1550075500,1550075500
gamma_test_generated_11155.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11156.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11157.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11158.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11159.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11160.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11161.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11162.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11163.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11164.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11165.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11166.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11167.hdf5,1550075501,,1550075501,1550075501
gamma_test_generated_11168.hdf5,1550075502,,1550075501,1550075501
gamma_test_generated_11169.hdf5,1550075502,,1550075502,1550075502
gamma_test_generated_11170.hdf5,1550075502,,1550075502,1550075502
gamma_test_generated_11171.hdf5,1550075502,,1550075502,1550075502
gamma_test_generated_11172.hdf5,1550075502,,1550075502,1550075502
gamma_test_generated_11173.hdf5,1550075502,,1550075502,1550075502
gamma_test_generated_11174.hdf5,1550075502,,1550075502,1550075502
gamma_test_generated_11175.hdf5,1550075502,,1550075502,1550075502
gamma_test_generated_11176.hdf5,1550075502,,1550075502,1550075502
